Aylor_TCDD_Male_adult	Bartolomei_BPA10mg_Male_adult	Bartolomei_BPA10ug_Male_adult	Biswal_PM2.5_Male_adult	Dolinoy_DEHP_Male_adult	Dolinoy_Pb_Male_adult	Mutlu_PM2.5_Male_adult	Walker_TBT_Male_adult	Zhibin_As_Male_adult
Mylpf	0	0	0	1	0	0	0	0	0
n-R5-8s1	0	0	0	0	0	0	0	1	0
Ncoa4	0	0	0	1	0	0	1	0	0
Ndufa2	0	0	0	1	0	0	0	0	0
Ndufa5	0	0	0	0	0	0	0	0	1
Nek2	0	0	0	1	0	0	0	0	0
Neurl2	0	0	0	0	0	0	1	0	0
Nfatc2ip	0	0	0	0	0	0	0	1	0
Nfil3	0	0	0	0	0	0	0	1	0
Nlrp6	0	0	0	1	0	0	0	0	0
Nme1	0	0	0	1	0	0	0	0	0
Nr1d2	0	0	0	0	0	0	0	1	0
Ntan1	0	0	0	1	0	0	0	0	0
Nxpe2	0	0	0	1	0	0	0	0	0
Oas2	0	0	0	0	0	0	1	0	0
Oaz2	0	0	0	1	0	0	0	0	0
Olfm1	0	0	0	1	0	0	0	0	0
Paox	0	0	0	1	0	0	0	0	0
Pcsk4	0	0	0	0	0	0	0	1	0
Pde4c	0	0	0	1	0	0	0	0	0
Pdzk1ip1	0	0	0	1	0	0	0	0	0
Pea15a	0	0	0	1	0	0	0	0	0
Pid1	0	0	0	1	0	0	0	0	0
Pkdcc	0	0	0	1	0	0	0	0	0
Pkm	0	0	0	0	0	0	0	1	0
Plpp3	0	0	0	1	0	0	0	0	0
Pls1	0	0	0	1	0	0	0	1	0
Ppan	0	0	0	1	0	0	0	0	0
Prc1	0	0	0	1	0	0	0	0	0
Prelid2	0	0	0	1	0	0	0	0	0
Prg4	0	0	0	0	0	0	0	0	1
Ptar1	0	0	0	1	0	0	0	0	0
Ptgfrn	0	0	0	0	0	0	0	1	0
Ptpn13	0	0	0	0	0	1	0	0	0
Ptpn18	0	0	0	1	0	0	0	0	0
Pycrl	0	0	0	1	0	0	0	0	0
Pygb	0	1	0	0	0	0	0	0	0
Pygm	0	0	0	1	0	0	0	0	0
Rab27b	0	0	1	0	0	0	0	1	0
Rab3il1	0	0	0	1	0	0	0	0	0
Rai2	0	0	0	1	0	0	0	0	0
Raph1	0	0	0	1	0	0	0	0	1
Rec114	0	0	0	1	0	0	0	0	0
Retreg1	0	0	0	1	0	0	0	0	0
Rhobtb1	0	0	0	1	0	0	0	0	0
Rorc	0	0	0	0	0	0	0	1	0
Rpl22l1	0	0	0	0	0	0	0	0	1
Rpl30	0	0	0	1	0	0	0	0	0
Rpl38-ps2	0	0	0	1	0	0	0	0	0
Rps14	0	0	0	1	0	0	0	0	0
Rps27rt	0	0	0	1	0	0	0	0	0
Rps3	0	0	0	1	0	0	0	0	0
Rps3a3	0	0	1	0	0	0	0	0	0
Rrm2	0	0	0	1	0	0	0	0	0
Rsad2	0	0	0	1	0	0	0	0	0
Rtl8a	0	0	0	0	0	0	0	1	0
Rtl8b	0	0	0	0	0	0	0	1	0
Rusc2	0	0	0	1	0	0	0	0	0
S1pr3	0	0	0	1	0	0	0	0	0
Saa3	1	0	0	0	0	0	0	0	0
Scai	0	0	0	0	0	0	0	1	0
Sco2	0	0	0	0	0	0	0	0	1
Sdf2l1	0	0	0	1	0	0	0	1	0
Sec24d	0	0	0	1	0	0	0	0	0
Sec61g	0	0	0	1	0	0	0	0	0
Shld2	0	0	0	1	0	0	0	0	0
Slc16a5	0	0	0	1	0	0	0	0	0
Slc16a7	0	0	0	1	0	0	0	0	0
Slc22a23	0	0	0	1	0	0	0	0	0
Slc22a3	0	0	0	1	0	0	0	0	0
Slc25a29	0	0	0	0	0	0	0	1	0
Slc26a2	0	0	0	1	0	0	0	0	0
Slc26a6	0	0	0	0	0	0	1	0	0
Slc27a2	0	0	0	1	0	0	0	0	0
Slc6a9	0	0	0	1	0	0	0	0	0
Snord17	0	0	0	0	1	0	0	0	0
Snx32	0	0	0	0	0	0	0	0	1
Socs3	0	0	0	0	0	0	0	1	0
Sord	0	0	0	0	0	0	0	1	0
Sort1	0	0	0	0	0	0	0	1	0
Specc1	0	0	0	1	0	0	0	0	0
Spic	0	0	0	1	0	0	0	0	0
Src	0	0	0	0	0	0	0	1	0
Srp54a	0	0	0	0	0	0	0	1	0
Ssh3	0	0	0	0	0	0	0	0	1
St3gal5	0	0	0	1	0	0	1	0	0
Steap4	0	0	0	1	0	0	1	1	0
Stt3a	0	0	0	1	0	0	0	0	0
Sulf2	0	0	0	1	0	0	0	0	0
Svil	0	0	0	1	0	0	0	0	0
Sytl1	0	0	0	1	0	0	0	0	0
Tanc2	0	0	0	1	0	0	0	0	0
Tceal8	0	0	0	0	0	0	1	0	0
Tent5c	0	0	0	1	0	0	1	0	0
Tert	0	0	0	0	0	0	0	0	1
Thtpa	0	0	0	0	0	1	0	0	0
Tiam1	0	0	0	1	0	0	0	0	0
Tk1	0	0	0	1	0	0	0	0	0
Tlcd1	0	0	0	1	0	0	0	0	0
Tle2	0	0	0	1	0	0	0	0	0
Tlr13	0	0	0	1	0	0	1	0	0
Tlr2	0	0	0	0	0	0	1	0	0
Tlr5	0	0	0	1	0	0	0	0	0
Tmed10-ps	0	0	0	1	0	0	0	0	0
Tmem205	0	0	0	1	0	0	0	0	0
Tmem256	0	0	0	1	0	0	0	0	0
Tmem29	0	0	0	1	0	0	0	0	0
Tmem9	0	0	0	1	0	0	0	0	0
Tmsb4x	0	0	0	1	0	0	0	0	0
Tnfrsf19	0	0	0	1	0	0	0	0	0
Tnfrsf1a	0	0	0	0	0	0	0	1	0
Tnfrsf1b	0	0	0	1	0	0	0	0	0
Tnik	0	0	0	0	0	0	0	1	0
Tpm1	0	0	0	1	0	0	0	0	0
Trim5	0	0	0	0	1	0	0	0	0
Trpm2	0	0	0	0	0	0	1	0	0
Tspan3	0	1	0	0	0	0	0	0	0
Tspan9	0	0	0	1	0	0	0	0	0
Tspyl4	0	0	0	1	0	0	0	0	0
Ttbk1	0	0	0	1	0	0	0	0	0
Ttc39c	0	0	0	1	0	0	0	0	0
Tuba1a	0	0	0	1	0	0	0	0	0
Tubb2a	0	0	0	0	0	0	0	1	0
Tubb6	0	0	0	0	0	0	0	1	0
Tyrobp	0	0	0	1	0	0	0	0	0
Ube2s	0	0	0	1	0	0	0	0	0
Ung	0	0	0	0	0	0	0	1	0
Uprt	0	0	0	1	0	0	0	0	0
Usp2	0	0	0	1	0	0	0	0	0
Wbp1	0	0	0	1	0	0	0	0	0
Wfdc17	0	0	0	1	0	0	0	0	0
Xbp1	0	0	0	1	0	0	0	0	0
Zbtb20	0	0	0	1	0	0	0	0	0
Zc3h11a	0	0	0	0	0	1	0	0	0
Zfhx2	0	0	0	0	0	0	0	0	1
Zfp128	0	0	0	1	0	0	0	0	0
Zfp292	0	0	0	1	0	0	0	0	0
Zfp619	0	0	0	1	0	0	0	0	0
Zmym6	0	0	0	0	0	0	0	0	1
