AL_TCDD_F_Bl_adt	BA_BPA10mg_F_Bl_adt	BA_BPA10ug_F_Bl_adt	BI_PM2.5_F_Bl_adt	DO_Pb_F_Bl_adt	DO_DEHP_F_Bl_adt	MU_PM2.5_F_Bl_adt	ZB_As_F_Bl_adt	WK_TBT_F_Bl_adt
Cbfa2t3	0	0	0	0	0	0	0	0	0.74562117264466
Cmip	0	0	0	0	0	0	0	0	0.745495220722338
Apbb1ip	0	0	0	0	0	0	0	0	0.745200953453779
Dennd1a	0	0	0	0	0	0	0	0	0.743861887282836
Hdac8	0	0	0	0	0	0	0	0	0.742141577948918
Gm21188	0	0	0	0	0	0	0	0	0.740701586756055
Pitrm1	0	0	0	0	0	0	0	0	0.740090757826197
Eif2ak1	0	0	0	0	0	0	0	0	0.737721355064625
Ifih1	0	0	0	0	0	0	0	0	0.737041950992704
Ptbp3	0	0	0	0	0	0	0	0	0.73582600040592
Bmp2k	0	0	0	0	0	0	0	0	0.73468130162901
Gm19721	0	0	0	0	0	0	0	0	0.73362768229999
Gm3325	0	0	0	0	0	0	0	0	0.732713126108963
Mtfr1	0	0	0	0	0	0	0	0	0.73164544449911
Gm14966	0	0	0	0	0	0	0	0	0.730685575763676
Ffar1	0	0	0	0	0	0	0	0	0.729625146896036
Raph1	0	0	0	0	0	0	0	0	0.725443066086813
Tax1bp1	0	0	0	0	0	0	0	0	0.723991415775983
Irf2	0	0	0	0	0	0	0	0	0.721695093789254
Trim56	0	0	0	0	0	0	0	0	0.721640492664227
Vps13c	0	0	0	0	0	0	0	0	0.721034980195073
Map2k5	0	0	0	0	0	0	0	0	0.716462096950534
Socs4	0	0	0	0	0	0	0	0	0.71512135977321
Fmnl2	0	0	0	0	0	0	0	0	0.711713324510195
Med13l	0	0	0	0	0	0	0	0	0.711640023330061
Gm43328	0	0	0	0	0	0	0	0	0.710872551187054
Endod1	0	0	0	0	0	0	0	0	0.705596280492729
Samd8	0	0	0	0	0	0	0	0	0.704803746591405
Ssbp2	0	0	0	0	0	0	0	0	0.704355226015993
Slc29a3	0	0	0	0	0	0	0	0	0.703701362838401
Arid4b	0	0	0	0	0	0	0	0	0.702699880012271
Dclre1b	0	0	0	0	0	0	0	0	0.700710169853299
Hnrnpd	0	0	0	0	0	0	0	0	0.698400438688409
Gm2058	0	0	0	0	0	0	0	0	0.696344695191284
Zup1	0	0	0	0	0	0	0	0	0.696048494330303
Zc3h15	0	0	0	0	0	0	0	0	0.695564396640693
Slfn3	0	0	0	0	0	0	0	0	0.694183230416275
Csf2rb2	0	0	0	0	0	0	0	0	0.692228061153458
Epas1	0	0	0	0	0	0	0	0	0.691972164540772
Cep85l	0	0	0	0	0	0	0	0	0.691637004597607
Tfe3	0	0	0	0	0	0	0	0	0.689672758797734
Rmnd5a	0	0	0	0	0	0	0	0	0.68749111058063
Steap3	0	0	0	0	0	0	0	0	0.687095024142502
Ubn2	0	0	0	0	0	0	0	0	0.68520958859278
Rps6ka5	0	0	0	0	0	0	0	0	0.68497960909946
Gpatch8	0	0	0	0	0	0	0	0	0.684824953717697
