C1	C2	C3	C4	C5	C6	C7	C8	C9	Tested_in_clustering	Cluster_control	Cluster_Exposure_P	Cluster_Exposure_Final
1700096K18Rik	24.7218289092101	10.8797243771026	10.637153221908	16.8639463744335	14.7462138197452	14.624405570557	10.5011427600216	19.2884904018953	9.35226775036338	100	9	9	9
1700113A16Rik	19.1558131277043	18.3425568803564	14.6187132669066	17.0651326127683	21.9426524839046	14.1752086652126	19.0205662220115	15.7593456345483	11.8338149875025	100	9	9	9
1700123O20Rik	7.66845644661634	28.9207124412896	23.8640676766418	10.5486459983797	23.2542958681316	15.0504748734781	26.1092258123172	8.75267429728711	12.9881667903482	100	9	1	1
1810008I18Rik	16.6741258055498	19.7891364497846	19.6175118575026	10.0693727723547	9.54820337461006	16.4691076017825	13.6764133527804	14.5448052890517	10.0426842291896	100	9	9	9
1810010H24Rik	7.1779450170539	25.7137535174981	22.3357312071221	7.58625971220278	17.9459561367224	14.4352492259054	21.6014050710533	8.13853051669043	10.5268432114221	100	8	8	8
1810013L24Rik	27.175541811851	8.03870834528109	8.68009149662693	17.9606121039018	13.3754266312942	14.9415014740066	8.31952825924738	21.2662504908185	9.69461700666552	100	3	3	3
1810014B01Rik	3.91759706514865	33.0167101721815	26.0580905635571	11.2007825442694	28.2028847985032	15.2944278495272	30.83468976994	6.73633691827477	14.2333335345384	100	1	1	1
1810017P11Rik	5.10365892874056	27.9716782963735	20.0770514108812	12.7635745475612	28.8232358176947	10.491546937412	28.1399864517187	5.3255007909902	11.7295746458879	100	9	1	1
1810019D21Rik	20.1943373897994	10.8365772802307	9.18556969450085	15.0250170246766	15.826289162984	11.5032586214035	11.3818381826497	15.4256416642332	7.99214620169551	100	2	9	9
1810021B22Rik	14.5276275613372	13.20891984982	6.53111021970039	17.7087424552615	27.4976863434018	6.64862964046542	18.812363487461	10.4176764648133	8.39223792375875	100	3	3	3
1810022K09Rik	10.7466853158927	23.9615643891715	17.2359702362753	14.536885749674	25.5626498596326	10.8574200354381	24.3255411948414	8.97466546225343	11.3320355266188	100	9	8	8
1810024B03Rik	20.8710759861934	11.4491455024713	6.95246948344561	18.8116098009393	23.7064449628314	10.2492699096502	15.9267427759722	15.5927048080605	8.99278112859211	100	3	3	3
1810026B05Rik	17.6998375693587	11.8641659996912	9.74287831434886	13.3475073408444	14.4062776692684	10.0880276410824	11.3424416753381	13.1056647707245	7.0333389303742	100	9	9	9
1810030O07Rik	11.8686651424517	8.17195584903959	4.05830908128315	10.6205396579723	17.1219393249185	4.67118955539335	11.4697427448987	8.00937817034929	3.94785304367423	100	9	9	9
1810032O08Rik	9.2957319962869	26.1122814208332	23.0365928249452	8.86626106314467	17.6324211219193	15.6616454322981	21.5709763893627	9.86640261309085	11.454485641165	100	4	4	4
1810034E14Rik	21.2638759907715	13.1371291835927	12.8975567858636	13.9642919560062	12.9505694346929	14.5999955018792	11.2518902070507	17.0832491990993	9.14197213288034	100	9	9	9
1810037I17Rik	6.60641739300092	36.5148434142545	33.9498866729365	7.79553831017517	19.9253271265677	22.6148459831748	28.9664409715134	11.1679591357756	17.2971049570063	100	1	1	1
